"name","date","dem"
"CUB",1917-05-18,0
"CUB",1917-05-19,3
"CUB",1928-06-28,3
"EST",1917-04-10,8
"EST",1918-02-22,8
"FIN",1917-12-04,8
"FIN",1919-07-15,8
"MEX",1917-01-30,-1
"MEX",1919-12-30,-1
"NTH",1917-11-14,10
"NTH",1940-05-08,10
"ROM",1917-01-07,-4
"ROM",1938-02-09,-4
"RUS",1917-02-24,0
"RUS",1917-10-23,0
"RUS",1917-10-24,-1
"RUS",1922-12-28,-1
"AUS",1918-11-14,0
"AUS",1920-09-29,0
"BEL",1918-11-09,6
"BEL",1940-04-02,6
"BUL",1918-10-03,2
"BUL",1919-08-05,2
"CZE",1918-10-26,7
"CZE",1938-10-08,7
"EST",1918-02-23,0
"EST",1919-06-13,0
"GMY",1918-11-08,0
"GMY",1919-07-29,0
"HUN",1918-11-16,0
"HUN",1919-03-19,0
"LIT",1918-11-09,4
"LIT",1926-12-16,4
"POL",1918-11-09,8
"POL",1926-05-12,8
"TUR",1918-10-29,0
"TUR",1922-10-31,0
"YAR",1918-10-28,-10
"YAR",1946-06-28,-10
"AUH",1918-11-14,0
"AUH",1920-09-29,0
"LUX",1918-11-09,6
"LUX",1940-04-02,6
"BUL",1919-08-06,-3
"BUL",1934-05-17,-3
"EST",1919-06-14,10
"EST",1933-10-15,10
"FIN",1919-07-16,10
"FIN",1930-07-13,10
"FRN",1919-07-11,9
"FRN",1930-04-28,9
"GMY",1919-07-30,6
"GMY",1933-07-12,6
"HON",1919-09-08,0
"HON",1920-06-28,0
"HUN",1919-03-20,-7
"HUN",1920-02-27,-7
"PER",1919-07-03,0
"PER",1920-01-17,0
"AUS",1920-09-30,8
"AUS",1933-03-03,8
"COS",1920-05-06,5
"COS",1948-02-28,5
"GRC",1920-12-05,1
"GRC",1922-09-24,1
"HON",1920-06-29,5
"HON",1924-06-06,5
"HUN",1920-02-28,-1
"HUN",1944-10-13,-1
"MEX",1919-12-31,-1
"MEX",1924-06-28,-1
"PER",1920-01-18,-9
"PER",1930-08-23,-9
"VEN",1920-06-29,-9
"VEN",1935-12-17,-9
"CAN",1921-12-05,10
"CAN",2012-12-28,10
"GUA",1921-12-05,2
"GUA",1931-03-14,2
"IRN",1921-02-21,0
"IRN",1925-12-12,0
"YUG",1920-12-31,0
"YUG",1929-01-04,0
"GRC",1922-09-25,0
"GRC",1924-04-29,0
"ITA",1922-10-31,0
"ITA",1928-05-10,0
"TUR",1922-11-01,0
"TUR",1923-10-28,0
"UKG",1922-11-15,10
"UKG",2016-06-20,10
"SPN",1923-09-12,-7
"SPN",1925-12-02,-7
"TUR",1923-10-29,-6
"TUR",1934-12-13,-6
"CHL",1924-11-09,0
"CHL",1925-09-16,0
"GRC",1924-04-30,-3
"GRC",1925-06-23,-3
"HON",1924-06-07,0
"HON",1925-07-05,0
"IRQ",1924-07-08,-4
"IRQ",1936-10-28,-4
"MEX",1924-06-29,-3
"MEX",1930-06-28,-3
"ALB",1925-01-21,-9
"ALB",1939-04-07,-9
"CHL",1925-09-17,-2
