"time","actor1","actor2","end_date","outcome","highact","hihost","fatlev"
1957-10-13,"SYR","TUR",1957-11-19,"Statlemate","Clash",4,"26-100"
1957-10-13,"EGY","JOR",1957-11-19,"Statlemate","Show of troops",3,"None"
1958-02-01,"EGY","ISR",1960-06-09,"Ongoing","Alert",3,"None"
1958-02-01,"EGY","ISR",1960-06-09,"Ongoing","Alert",3,"None"
1958-02-01,"EGY","ISR",1960-06-09,"Statlemate","Alert",3,"0-25"
1958-03-05,"JOR","SYR",1958-03-05,"Statlemate","Raid",4,"None"
1958-03-05,"TUR","SYR",1958-04-13,"Statlemate","Clash",4,"None"
1958-05-14,"USA","EGY",1958-10-24,"Unclear","Show of Ships",3,"None"
1958-05-17,"USA","RUS",1958-10-24,"Unclear","Show of Ships",3,"None"
1958-06-27,"RUS","USA",1958-07-07,"Released","Raid",4,"None"
1958-07-14,"UKG","RUS",1958-10-24,"Unclear","Alert",3,"None"
1958-07-14,"UKG","EGY",1958-10-24,"Unclear","Alert",3,"None"
1958-07-15,"USA","IRQ",1958-10-24,"Unclear","Show of Ships",3,"None"
1958-07-15,"UKG","IRQ",1958-10-24,"Unclear","Alert",3,"None"
1958-07-15,"TUR","IRQ",1958-07-31,"Statlemate","Alert",3,"None"
1958-07-17,"UKG","IRQ",1958-10-22,"Statlemate","Show of troops",3,"None"
1958-07-17,"UKG","EGY",1958-10-22,"Statlemate","Show of troops",3,"None"
1958-09-08,"RUS","USA",1958-09-08,"Statlemate","Show of Ships",3,"None"
1958-09-14,"ISR","EGY",1958-09-18,"Released","Seizure",4,"None"
1958-11-07,"RUS","USA",1959-06-23,"Ongoing","Seizure",4,"None"
1958-11-07,"RUS","USA",1959-06-23,"Statlemate","Seizure",4,"None"
1958-11-07,"RUS","UKG",1959-06-23,"Ongoing","Seizure",4,"None"
1958-11-07,"RUS","UKG",1959-06-23,"Statlemate","Seizure",4,"None"
1958-11-07,"RUS","FRN",1959-06-23,"Ongoing","Seizure",4,"None"
1958-11-07,"RUS","FRN",1959-06-23,"Statlemate","Seizure",4,"None"
