"date","actor1","actor2","contiguity"
1816-07-26,"IND","BNG",1
1816-07-26,"IND","MYA",1
1816-07-26,"IND","NEP",1
1816-07-26,"BHU","CHN",1
1816-07-26,"BHU","IND",1
1816-07-26,"PAK","IRN",1
1816-07-26,"PAK","AFG",1
1816-07-26,"PAK","CHN",1
1816-07-26,"PAK","IND",1
1816-07-26,"PAK","MYA",1
1816-07-26,"BNG","IND",1
1816-07-26,"BNG","MYA",1
1816-07-26,"MYA","CHN",1
1816-07-26,"MYA","IND",1
1816-07-26,"MYA","PAK",1
1816-07-26,"MYA","BNG",1
1816-07-26,"MYA","THI",1
1816-07-26,"MYA","LAO",1
1816-07-26,"NEP","CHN",1
1816-07-26,"NEP","IND",1
1816-07-26,"THI","MYA",1
1816-07-26,"THI","CAM",1
1816-07-26,"THI","LAO",1
1816-07-26,"THI","MAL",1
1816-07-26,"CAM","THI",1
1816-07-26,"CAM","LAO",1
1816-07-26,"CAM","DRV",1
1816-07-26,"CAM","RVN",1
1816-07-26,"LAO","CHN",1
1816-07-26,"LAO","MYA",1
1816-07-26,"LAO","THI",1
1816-07-26,"LAO","CAM",1
1816-07-26,"LAO","DRV",1
1816-07-26,"LAO","RVN",1
1816-07-26,"DRV","CHN",1
1816-07-26,"DRV","CAM",1
1816-07-26,"DRV","LAO",1
1816-07-26,"DRV","RVN",1
1816-07-26,"RVN","CAM",1
1816-07-26,"RVN","LAO",1
1816-07-26,"RVN","DRV",1
1816-07-26,"MAL","THI",1
1816-07-26,"MAL","SIN",1
1816-07-26,"MAL","BRU",1
1816-07-26,"MAL","INS",1
1816-07-26,"SIN","MAL",1
1816-07-26,"BRU","MAL",1
1816-07-26,"INS","MAL",1
1816-07-26,"INS","ETM",1
1816-07-26,"INS","PNG",1
1816-07-26,"ETM","INS",1
1816-07-26,"PNG","INS",1
