"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2001-09-01,"Spain_gov","slavery_victims","Spain","slavery_victims",2001,"multilateral","2_regret",FALSE,"Spanish Minister Juan Carlos Aparicio expressed regret about slavery"
2001-09-02,"Netherlands_gov","slavery_victims","Netherlands","slavery_victims",2001,"multilateral","2_regret",FALSE,"Dutch Minister Roger van Boxtel expressed remorse for slave trade at the World Conference Against Racism"
2001-09-08,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",2001,"multilateral","3_apology",FALSE,"Japan's Foreign Affairs Minister Makiko Tanaka offers apology for the 'damage and suffering' caused by Japan during WWII at the Commemoration of the 50th anniversary of the Signing of the San Francisco Peace Treaty. "
2001-09-08,"Indonesia_gov","Indonesia_min","Indonesia","Indonesia",2001,"domestic","3_apology",FALSE,"During visit in Aceh, Indonesian President Megawati Sukarnoputri said she was sorry for mistakes by past governments in the region's separatist war. "
2001-10-08,"Japan_gov","China_gov","Japan","China",2001,"international","3_apology",FALSE,"Japanese Prime Minister Junichiro Koizumi apologized and expressed condolences in China for those Chinese who lost their lives in World War II."
2001-10-30,"Croatia_gov","Israel_gov","Croatia","Israel",2001,"international","2_regret",FALSE,"Croatian President Stepan Mesi_ expressed regret for the crimes committed against the Jews during the Second World War, on the territory f the Quisling-entity called Independent State of Croatia. "
2001-12-11,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",2001,"domestic","3_apology",FALSE,"Guatemala President Alfonso Portillo apologized  for ''shameful acts'' committed by security forces during the civil war."
2001-12-14,"Serbia_gov","Croatia_gov","Serbia","Croatia",2001,"international","3_apology",FALSE,"The Yugoslav foreign minister Goran Slavinovic issued an apology  for the pain suffered by the citizens of the Croatian Republic. "
2002-02-12,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",2002,"domestic","3_apology",FALSE,"New Zealand Prime Minister Helen Clarke made a surprise apology for the historic wrong inflicted on the Chinese by a poll tax and other  discriminatory restrictions."
2002-04-15,"Netherlands_gov","Ghana_gov","Netherlands","Ghana",2002,"international","2_regret",FALSE,"Crown prince Willem Alexander expressed remorse for slave trade during visit in Ghana"
2002-04-28,"Austria_gov","Austria_min","Austria",NA,2002,"domestic","3_apology",FALSE,"Austria apologized for a clinic at Am Spiegelgrund in which 789 mentally handicapped children were subjected to medical experiments and murder during the Nazi regime."
2002-05-29,"Nigeria_gov","Nigeria_min","Nigeria","Nigeria",2002,"domestic","3_apology",FALSE,"Nigerian President Chief Olusegun Obasanjo apologized to Nigerians for years of rights abuses by previous governments."
2002-06-03,"New Zealand_gov","Samoa_gov","New Zealand","Samoa",2002,"international","3_apology",FALSE,"New Zealand Prime Minister Helen Clarke apologized for New Zealand's treatment of Samoans during colonial times more than 70 years ago."
